service_id,person_id,service_type,service_date,year,month,quarter,foodpounds,mealcount,food_pounds_per_person,data_source,benefit_amount,food_value,benefit_per_person,unified_service_id,service_location
1,1,Nutrition Education,2024-02-05,2024,2,1,14.387824937038754,6.0,2.8775649874077507,Choice,,35.96956234259689,,1,Community Center
2,1,WIC,2024-02-09,2024,2,1,16.29618881807711,9.0,3.2592377636154217,Choice,,40.74047204519277,,2,WIC Clinic East
3,1,Meal Service,2024-03-27,2024,3,1,33.34838356692255,7.0,6.66967671338451,Choice,,83.37095891730638,,3,Senior Center
4,2,SNAP,2024-02-04,2024,2,1,23.70159767568794,2.0,23.70159767568794,Choice,,59.253994189219846,,4,SNAP Office South
5,2,Food Pantry,2024-03-16,2024,3,1,37.54982042225151,2.0,37.54982042225151,Choice,,93.87455105562876,,5,School District Pantry
6,2,Emergency Food,2024-01-02,2024,1,1,12.104943929273574,10.0,12.104943929273574,Choice,,30.26235982318393,,6,Community Resource Center
7,2,SNAP,2024-03-29,2024,3,1,13.227228240674815,1.0,13.227228240674815,Choice,,33.06807060168704,,7,SNAP Office South
8,3,Nutrition Education,2024-03-17,2024,3,1,37.76908749558563,4.0,18.88454374779281,Choice,,94.42271873896408,,8,Health Department
9,3,Emergency Food,2024-01-17,2024,1,1,31.72250285236452,5.0,15.86125142618226,Choice,,79.3062571309113,,9,Community Resource Center
10,3,Emergency Food,2024-04-03,2024,4,2,23.752506619224828,11.0,11.876253309612414,Choice,,59.38126654806207,,10,Community Resource Center
11,3,Food Pantry,2024-02-14,2024,2,1,22.79683336074868,10.0,11.39841668037434,Choice,,56.992083401871696,,11,Community Food Bank
12,3,SNAP,2024-03-28,2024,3,1,19.652045027612655,6.0,9.826022513806327,Choice,,49.130112569031645,,12,SNAP Office Downtown
13,3,Food Pantry,2024-04-21,2024,4,2,15.378485484311843,2.0,7.689242742155923,Choice,,38.44621371077962,,13,Community Food Bank
14,3,Food Pantry,2024-01-12,2024,1,1,28.650022081782797,1.0,14.325011040891397,Choice,,71.62505520445698,,14,Community Food Bank
15,4,Meal Service,2024-02-06,2024,2,1,22.397080516020075,6.0,22.397080516020075,Choice,,55.99270129005019,,15,Senior Center
16,4,Food Pantry,2024-03-22,2024,3,1,31.5624206550505,2.0,31.5624206550505,Choice,,78.90605163762625,,16,Church Food Pantry
17,4,Food Pantry,2024-03-20,2024,3,1,32.35535498809279,8.0,32.35535498809279,Choice,,80.88838747023198,,17,Church Food Pantry
18,5,Meal Service,2024-03-27,2024,3,1,24.60764630335904,4.0,24.60764630335904,Choice,,61.5191157583976,,18,Shelter Dining
19,5,Emergency Food,2024-01-01,2024,1,1,39.22618115781621,7.0,39.22618115781621,Choice,,98.06545289454051,,19,Community Resource Center
20,5,Meal Service,2024-01-19,2024,1,1,13.41520638079758,11.0,13.41520638079758,Choice,,33.53801595199395,,20,Shelter Dining
21,5,SNAP,2024-01-07,2024,1,1,8.440097208879326,6.0,8.440097208879326,Choice,,21.100243022198317,,21,SNAP Office South
22,5,Emergency Food,2024-02-09,2024,2,1,21.68467244595505,5.0,21.68467244595505,Choice,,54.21168111488764,,22,Community Resource Center
23,6,Nutrition Education,2024-04-02,2024,4,2,25.876452593269885,8.0,25.876452593269885,Choice,,64.69113148317471,,23,Health Department
24,6,Nutrition Education,2024-01-14,2024,1,1,31.30036854415965,5.0,31.30036854415965,Choice,,78.25092136039912,,24,Health Department
25,6,Meal Service,2024-01-27,2024,1,1,21.30169679005713,4.0,21.30169679005713,Choice,,53.25424197514282,,25,Community Kitchen
26,6,SNAP,2024-04-11,2024,4,2,23.439296855252305,1.0,23.439296855252305,Choice,,58.598242138130765,,26,SNAP Office Downtown
27,6,Emergency Food,2024-01-25,2024,1,1,10.614777736658468,7.0,10.614777736658468,Choice,,26.53694434164617,,27,Community Resource Center
28,6,Emergency Food,2024-01-12,2024,1,1,13.948996361980717,5.0,13.948996361980717,Choice,,34.87249090495179,,28,Community Resource Center
29,6,Emergency Food,2024-04-13,2024,4,2,18.560392758306197,5.0,18.560392758306197,Choice,,46.40098189576548,,29,Community Resource Center
30,7,Food Pantry,2024-03-29,2024,3,1,0.2577168967216501,3.0,0.0644292241804125,Choice,,0.6442922418041253,,30,Church Food Pantry
31,7,SNAP,2024-03-16,2024,3,1,27.6064586431286,8.0,6.901614660782149,Choice,,69.0161466078215,,31,SNAP Office North
32,7,Food Pantry,2024-03-02,2024,3,1,12.058507220203566,7.0,3.0146268050508915,Choice,,30.146268050508915,,32,Church Food Pantry
33,8,WIC,2024-03-28,2024,3,1,33.96866235659878,3.0,11.322887452199591,Choice,,84.92165589149694,,33,WIC Clinic West
34,8,WIC,2024-01-09,2024,1,1,25.258527996361657,10.0,8.419509332120553,Choice,,63.14631999090415,,34,WIC Clinic West
35,8,SNAP,2024-01-09,2024,1,1,30.9170437026328,3.0,10.305681234210931,Choice,,77.292609256582,,35,SNAP Office South
36,8,Emergency Food,2024-01-27,2024,1,1,27.89790057241776,3.0,9.29930019080592,Choice,,69.74475143104439,,36,Community Resource Center
37,8,Nutrition Education,2024-04-22,2024,4,2,51.58611063228558,5.0,17.195370210761862,Choice,,128.96527658071395,,37,Library Branch
38,9,Food Pantry,2024-01-23,2024,1,1,27.96455788322936,7.0,27.96455788322936,Choice,,69.9113947080734,,38,Community Food Bank
