emp_count_vid,group_size,modified_time,years_in_business,created_time,oca,entity_name,group_separator,source_database,created_by,industry_val_num,decimal_char,annual_rev_vid,sys_flags,parent_org_id,source_table,currency,float_pattern,master_org_id,currency_pattern,modified_by,language,country,path,printable_name,org_id,status_flag,org_type
0.0,3,2003-05-06 05:10:49,0.0,2003-05-06 05:09:58,1,SanLeandro,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFK,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFH,"*###,##0.00",USER_00004K1T,en,US,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KEF,San Leandro,ORG_00004KEF,A,S
0.0,3,2003-05-09 03:02:31,0.0,2003-05-09 03:01:28,1,WinchesterPlant,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFK,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFH,"*###,##0.00",USER_00004K1T,en,US,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KH5,WinchesterPlant,ORG_00004KH5,A,S
0.0,3,2009-04-24 15:14:39,0.0,2003-05-18 17:14:51,5,Albuquerque,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFI,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFI,"*###,##0.00",USER_00004SE9,en,US,ORG_00000001.ORG_00004IFI.ORG_00004KH6,Albuquerque,ORG_00004KH6,A,S
0.0,3,2003-05-18 17:31:33,0.0,2003-05-18 17:29:09,2,MemphisZC,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFI,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFI,"*###,##0.00",USER_00004K1T,en,US,ORG_00000001.ORG_00004IFI.ORG_00004KH7,MemphisZC,ORG_00004KH7,A,S
0.0,3,2006-01-05 00:27:12,0.0,2003-05-18 17:37:20,5,FtMeyersZC,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFI,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFI,"*###,##0.00",USER_00004Q9N,en,US,ORG_00000001.ORG_00004IFI.ORG_00004KH8,FtMeyersZC,ORG_00004KH8,A,S
0.0,3,2006-01-05 00:19:25,0.0,2003-05-18 20:46:17,3,Fargo,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFI,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFI,"*###,##0.00",USER_00004Q9N,en,US,ORG_00000001.ORG_00004IFI.ORG_00004KH9,Fargo,ORG_00004KH9,A,S
0.0,3,2008-12-02 14:20:39,0.0,2003-05-18 20:54:13,7,Memphis,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFI,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFI,"*###,##0.00",USER_00004SE9,en,US,ORG_00000001.ORG_00004IFI.ORG_00004KHA,Mid-South Food Bank,ORG_00004KHA,A,S
0.0,3,2006-01-05 23:53:35,0.0,2003-05-18 20:57:48,3,Pennsauken,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFI,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFI,"*###,##0.00",USER_00004Q9N,en,US,ORG_00000001.ORG_00004IFI.ORG_00004KHB,Pennsauken,ORG_00004KHB,A,S
0.0,3,2006-01-05 23:15:08,0.0,2003-05-19 12:27:45,3,MemphisZD,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFI,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFI,"*###,##0.00",USER_00004Q9N,en,US,ORG_00000001.ORG_00004IFI.ORG_00004KHC,MemphisZD,ORG_00004KHC,I,S
0.0,3,2003-05-22 20:22:44,0.0,2003-05-22 20:21:44,2,TestAffiliate6,",",choice,USER_00004K1T,0.0,.,0.0,0,ORG_00004IFI,choice_RW_ORG,USD,"###,##0.###",ORG_00004IFI,"*###,##0.00",USER_00004K1T,en,US,ORG_00000001.ORG_00004IFI.ORG_00004KK9,Test Affiliate6,ORG_00004KK9,A,S
